Date,AAPL,MSFT,GOOGL,AMZN,TSLA
2025-01-02,242.75209045410156,415.51483154296875,188.6909942626953,220.22000122070312,379.2799987792969
2025-01-03,242.26429748535156,420.2499084472656,191.0417938232422,224.19000244140625,410.44000244140625
2025-01-06,243.89691162109375,424.7169494628906,196.10198974609375,227.61000061035156,411.04998779296875
2025-01-07,241.11947631835938,419.277099609375,194.7273712158203,222.11000061035156,394.3599853515625
2025-01-08,241.60726928710938,421.4510498046875,193.19337463378906,222.1300048828125,394.94000244140625
2025-01-10,235.78359985351562,415.88214111328125,191.2908172607422,218.94000244140625,394.739990234375
2025-01-13,233.34463500976562,414.1350402832031,190.26483154296875,218.4600067138672,403.30999755859375
2025-01-14,232.2296905517578,412.62615966796875,188.9200897216797,217.75999450683594,396.3599853515625
2025-01-15,236.79901123046875,423.188232421875,194.78712463378906,223.35000610351562,428.2200012207031
2025-01-16,227.23228454589844,421.47088623046875,192.1574249267578,220.66000366210938,413.82000732421875
2025-01-17,228.9445343017578,425.8883056640625,195.2353515625,225.94000244140625,426.5
2025-01-21,221.6375732421875,425.3621826171875,197.2773895263672,230.7100067138672,424.07000732421875
2025-01-22,222.8222198486328,442.9325866699219,197.59613037109375,235.00999450683594,415.1099853515625
2025-01-23,222.65301513671875,443.4388427734375,197.20765686035156,235.4199981689453,412.3800048828125
2025-01-24,221.77694702148438,440.8082275390625,199.42893981933594,234.85000610351562,406.5799865722656
2025-01-27,228.82508850097656,431.3778076171875,191.06170654296875,235.4199981689453,397.1499938964844
2025-01-28,237.187255859375,443.92529296875,194.53810119628906,238.14999389648438,398.0899963378906
2025-01-29,238.28228759765625,439.0909118652344,194.64767456054688,237.07000732421875,389.1000061035156
2025-01-30,236.520263671875,411.95111083984375,200.08636474609375,234.63999938964844,400.2799987792969
2025-01-31,234.9374237060547,412.0205993652344,203.22409057617188,237.67999267578125,404.6000061035156
2025-02-03,226.9833984375,407.91094970703125,200.44496154785156,237.4199981689453,383.67999267578125
2025-02-04,231.7518310546875,409.3503112792969,205.57489013671875,242.05999755859375,392.2099914550781
2025-02-05,231.42332458496094,410.26361083984375,190.58360290527344,236.1699981689453,378.1700134277344
2025-02-06,232.16995239257812,412.7750549316406,190.8525390625,238.8300018310547,374.32000732421875
2025-02-07,226.60513305664062,406.7494812011719,184.61695861816406,229.14999389648438,361.6199951171875
2025-02-10,226.8741912841797,409.2014465332031,185.7425537109375,233.13999938964844,350.7300109863281
2025-02-11,231.8272705078125,408.4271240234375,184.59706115722656,232.75999450683594,328.5
2025-02-12,236.06277465820312,406.0447082519531,182.8937225341797,228.92999267578125,336.510009765625
2025-02-13,240.70687866210938,407.5337219238281,185.41384887695312,230.3699951171875,355.94000244140625
2025-02-14,243.76646423339844,405.43914794921875,184.5073699951172,228.67999267578125,355.8399963378906
2025-02-18,243.6368865966797,406.64031982421875,183.05307006835938,226.64999389648438,354.1099853515625
2025-02-19,244.03549194335938,411.73272705078125,184.5472412109375,226.6300048828125,360.55999755859375
2025-02-20,244.9922332763672,413.91107177734375,183.83999633789062,222.8800048828125,354.3999938964844
2025-02-21,244.71319580078125,406.03326416015625,178.95912170410156,216.5800018310547,337.79998779296875
2025-02-24,246.25791931152344,401.8457336425781,178.5507049560547,212.7100067138672,330.5299987792969
2025-02-25,246.1981201171875,395.77825927734375,174.73565673828125,212.8000030517578,302.79998779296875
2025-02-26,239.5408935546875,397.5985412597656,172.05615234375,214.35000610351562,290.79998779296875
2025-02-27,236.49131774902344,390.4368591308594,167.84266662597656,208.74000549316406,281.95001220703125
2025-02-28,241.01583862304688,394.87310791015625,169.61569213867188,212.27999877929688,292.9800109863281
2025-03-03,237.2188262939453,386.4184265136719,166.35845947265625,205.02000427246094,284.6499938964844
2025-03-04,235.1259765625,386.53778076171875,170.2532196044922,203.8000030517578,272.0400085449219
2025-03-05,234.93663024902344,398.8816223144531,172.3450164794922,208.36000061035156,279.1000061035156
2025-03-06,234.52804565429688,394.7736511230469,171.67762756347656,200.6999969482422,263.45001220703125
